6-8-2017,726,1,0,S1025518,WEST FRASER,FMA8800025,MCL,5250500510,Moores,Talisman,40K894,390,7,44860,24380,20480,37
6-13-2017,726,2,0,S1014470,WEST FRASER,FMA8800025,EMB,5180491889,Lydell,BWP 83,14291P,103,7,54990,25400,29590,38
6-14-2017,726,3,0,S1014471,WEST FRASER,FMA8800025,EMB,5180491889,Lydell,BWP 83,14291P,103,7,55430,25290,30140,44
6-14-2017,726,4,0,S1014472,WEST FRASER,FMA8800025,EMB,5200492009,Rick Eluik,BWP 83,14291P,103,7,55700,25700,30000,48
6-22-2017,726,5,0,Q216376,WEST FRASER,FMA9700032,EFP,5160482705,Lydell,BWP 83,14291P,103,7,43050,25530,17520,31
7-3-2017,726,6,1,S1014474,WEST FRASER,FMA8800025,EMB,5190500176,Lydell,BWP 83,14291P,103,7,55810,31980,23830,41
7-3-2017,726,7,0,S1014473,WEST FRASER,FMA8800025,EMB,5180472895,Leniam,BWP 83,14291P,103,7,31980,25910,6070,9
7-4-2017,726,8,0,S1014475,WEST FRASER,FMA8800025,EMB,5190500176,Lydell,BWP 83,14291P,103,7,54110,42470,11640,20
7-4-2017,726,9,0,S1014476,WEST FRASER,FMA8800025,EMB,5180491435,Lydell,BWP 83,14291P,103,7,42470,25880,16590,32
42922,726,10,0,U004346360,WEYERHAEUSER,FMA0900046,DV1,5120442262,Lydell,BWP 83,14291P,103,7,55550,25620,29930,38
42922,726,11,0,U004346361,WEYERHAEUSER,FMA0900046,DV1,5120441549,Lydell,BWP 83,14291P,103,7,55030,25760,29270,39
42923,726,12,0,U004346362,WEYERHAEUSER,FMA0900046,E15,5160502868,DBC,BWP 83,14291P,103,7,55640,25650,29990,41
42923,726,13,0,Q216377,WEST FRASER,FMA9700032,EFP,5160482705,Lydell,BWP 83,14291P,103,7,48280,25520,22760,40
42926,730,1,0,U004345364,BIG BITE SERVICES,,,SE SEC 12-53-11-W5,,Alevog,L59404,E605,7,60160,26650,33510,
42926,730,2,0,U004345365,BIG BITE SERVICES,,,SE SEC 12-53-11-W5,,Alevog,L59404,E605,7,60350,26550,33800,
42926,730,3,0,U004345366,BIG BITE SERVICES,,,SE SEC 12-53-11-W5,,Alevog,L59404,E605,7,48870,26470,22400,
42929,726,14,0,U004346363,WEYERHAEUSER,FMA0900046,E15,5160502868,DBC,BWP 83,14291P,103,7,55510,25760,29750,47
42929,726,15,0,S1014477,WEST FRASER,FMA8800025,EMB,3-009-1960,Eluik,BWP 83,14291P,103,7,30740,25760,4980,8
42930,726,16,0,U004346364,WEYERHAEUSER,FMA0900046,E15,5160502707,DBC,BWP 83,14291P,103,7,55960,25610,30350,42
